dataset,image,sigma,seed,method,psnr,ssim,runtime_ms,kernel_size,sigma_filter,patch_size,search_size,h,h_factor,sigma_psd,sigma_factor
set12,01,25,42,NLM,27.24041584827696,0.7872299368898535,157.10140000010142,,,5.0,21.0,20.0,0.8,,
set12,01,25,42,NLM,27.24041584827696,0.7872299368898535,164.5537999993394,,,5.0,21.0,25.0,1.0,,
set12,01,25,42,NLM,27.24041584827696,0.7872299368898535,153.48739999899408,,,5.0,21.0,30.0,1.2,,
set12,01,25,42,NLM,27.24041584827696,0.7872299368898535,154.68680000049062,,,5.0,21.0,37.5,1.5,,
set12,01,25,42,NLM,26.654642244760417,0.781269782442531,346.5734999990673,,,5.0,31.0,15.0,0.6,,
set12,01,25,42,NLM,26.654642244760417,0.781269782442531,352.31560000102036,,,5.0,31.0,20.0,0.8,,
set12,01,25,42,NLM,26.654642244760417,0.781269782442531,346.8778000005841,,,5.0,31.0,25.0,1.0,,
set12,01,25,42,NLM,26.654642244760417,0.781269782442531,345.94949999882374,,,5.0,31.0,30.0,1.2,,
set12,01,25,42,NLM,26.654642244760417,0.781269782442531,345.21069999937026,,,5.0,31.0,37.5,1.5,,
set12,01,25,42,NLM,27.907749649003684,0.7893282431363914,43.06499999984226,,,7.0,11.0,15.0,0.6,,
set12,01,25,42,NLM,27.907749649003684,0.7893282431363914,42.613300000084564,,,7.0,11.0,20.0,0.8,,
set12,01,25,42,NLM,27.907749649003684,0.7893282431363914,42.81099999934668,,,7.0,11.0,25.0,1.0,,
set12,01,25,42,NLM,27.907749649003684,0.7893282431363914,42.661199999201926,,,7.0,11.0,30.0,1.2,,
set12,01,25,42,NLM,27.907749649003684,0.7893282431363914,42.79720000158704,,,7.0,11.0,37.5,1.5,,
set12,01,25,42,NLM,27.114100682137735,0.7825105236328533,151.0056999995868,,,7.0,21.0,15.0,0.6,,
set12,01,25,42,NLM,27.114100682137735,0.7825105236328533,150.85480000016105,,,7.0,21.0,20.0,0.8,,
set12,01,25,42,NLM,27.114100682137735,0.7825105236328533,150.8451999998215,,,7.0,21.0,25.0,1.0,,
set12,01,25,42,NLM,27.114100682137735,0.7825105236328533,151.755900000353,,,7.0,21.0,30.0,1.2,,
set12,01,25,42,NLM,27.114100682137735,0.7825105236328533,150.58510000017122,,,7.0,21.0,37.5,1.5,,
set12,01,25,42,NLM,26.48671180868943,0.7735118149794921,337.46249999967404,,,7.0,31.0,15.0,0.6,,
set12,01,25,42,NLM,26.48671180868943,0.7735118149794921,336.9417000012618,,,7.0,31.0,20.0,0.8,,
set12,01,25,42,NLM,26.48671180868943,0.7735118149794921,336.42630000031204,,,7.0,31.0,25.0,1.0,,
set12,01,25,42,NLM,26.48671180868943,0.7735118149794921,337.643200000457,,,7.0,31.0,30.0,1.2,,
set12,01,25,42,NLM,26.48671180868943,0.7735118149794921,337.9724999995233,,,7.0,31.0,37.5,1.5,,
set12,01,25,42,BM3D,22.661873521415,0.46280158538525457,1053.9935999986483,,,,,,,12.5,0.5
set12,01,25,42,BM3D,28.094654804920385,0.7597605264789927,856.299899998703,,,,,,,18.75,0.75
set12,01,25,42,BM3D,29.320189443773153,0.8482956078405796,1011.6556000011769,,,,,,,25.0,1.0
set12,01,25,42,BM3D,28.67274870904851,0.8270048687425624,854.6798999996099,,,,,,,31.25,1.25
set12,01,25,42,BM3D,28.09400489480577,0.8124510952036981,896.5500999984215,,,,,,,37.5,1.5
